Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
geven	gevenven	gml-verb	VERB	VerbForm=Inf		en		gevenv
geven	tô gevenvene or tô gevenvende	gml-verb	VERB		tô 	ene or tô 	ene or tô 	gevenvene or tô 
geven	gevenven or gevenvent	gml-verb	VERB		en or 	en or 	en or 	en or gev
geven	gevenvende	gml-verb	VERB			ende		gevenv
geven	gevenvet	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		et		gevenv
geven	gevenve	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		e		gevenv
geven	gevenvede	gml-verb	VERB	VerbForm=Inf		ede		gevenv
geven	gevenve	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		e		gevenv
geven	gevenvede	gml-verb	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing		ede		gevenv
geven	gevenvest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		est		gevenv
geven	gevenvedest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3		edest		gevenv
geven	gevenvest	gml-verb	VERB	Mood=Jus;Person=2;Number=Sing		est		gevenv
geven	gevenvedest	gml-verb	VERB	Mood=Jus;Person=2;Number=Plur		edest		gevenv
leven	levenēven	gml-verb	VERB	VerbForm=Inf		en		levenēv
leven	tô levenēvene or tô levenēvende	gml-verb	VERB		tô 	ene or tô 	ene or tô 	levenēvene or tô l
leven	levenēven or levenēvent	gml-verb	VERB		en or 	en or 	en or 	ven or leve
leven	levenēvende	gml-verb	VERB			ende		levenēv
leven	levenēvet	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		et		levenēv
leven	levenēve	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		e		levenēv
leven	levenēvede	gml-verb	VERB	VerbForm=Inf		ede		levenēv
leven	levenēve	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		e		levenēv
leven	levenēvede	gml-verb	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing		ede		levenēv
leven	levenēvest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		est		levenēv
leven	levenēvedest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3		edest		levenēv
leven	levenēvest	gml-verb	VERB	Mood=Jus;Person=2;Number=Sing		est		levenēv
leven	levenēvedest	gml-verb	VERB	Mood=Jus;Person=2;Number=Plur		edest		levenēv
drinken	drinkenanken	gml-verb	VERB	VerbForm=Inf		en		drinkenank
drinken	tô drinkenankene or tô drinkenankende	gml-verb	VERB		tô 	ene or tô 	ene or tô 	drinkenankene or tô drin
drinken	drinkenanken or drinkenankent	gml-verb	VERB		en or 	en or 	en or 	nanken or drinken
drinken	drinkenankende	gml-verb	VERB			ende		drinkenank
drinken	drinkenanket	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		et		drinkenank
drinken	drinkenanke	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		e		drinkenank
drinken	drinkenankede	gml-verb	VERB	VerbForm=Inf		ede		drinkenank
drinken	drinkenanke	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		e		drinkenank
drinken	drinkenankede	gml-verb	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing		ede		drinkenank
drinken	drinkenankest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		est		drinkenank
drinken	drinkenankedest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3		edest		drinkenank
drinken	drinkenankest	gml-verb	VERB	Mood=Jus;Person=2;Number=Sing		est		drinkenank
drinken	drinkenankedest	gml-verb	VERB	Mood=Jus;Person=2;Number=Plur		edest		drinkenank
werden	werdencrden	gml-verb	VERB	VerbForm=Inf		en		werdencrd
werden	tô werdencrdene or tô werdencrdende	gml-verb	VERB		tô 	ene or tô 	ene or tô 	werdencrdene or tô wer
werden	werdencrden or werdencrdent	gml-verb	VERB		en or 	en or 	en or 	crden or werden
werden	werdencrdende	gml-verb	VERB			ende		werdencrd
werden	werdencrdet	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		et		werdencrd
werden	werdencrde	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		e		werdencrd
werden	werdencrdede	gml-verb	VERB	VerbForm=Inf		ede		werdencrd
werden	werdencrde	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		e		werdencrd
werden	werdencrdede	gml-verb	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing		ede		werdencrd
werden	werdencrdest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		est		werdencrd
werden	werdencrdedest	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3		edest		werdencrd
werden	werdencrdest	gml-verb	VERB	Mood=Jus;Person=2;Number=Sing		est		werdencrd
werden	werdencrdedest	gml-verb	VERB	Mood=Jus;Person=2;Number=Plur		edest		werdencrd
waren	warenāren	gml-verb	VERB	VerbForm=Inf		en		warenār
waren	tô warenārene or tô warenārende	gml-verb	VERB		tô 	ene or tô 	ene or tô 	warenārene or tô w
waren	warenāren or warenārent	gml-verb	VERB		en or 	en or 	en or 	ren or ware
waren	warenārende	gml-verb	VERB			ende		warenār
waren	warenāret	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		et		warenār
waren	warenāre	gml-verb	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		e		warenār
waren	warenārede	gml-verb	VERB	VerbForm=Inf		ede		warenār
waren	warenāre	gml-verb	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing		e		warenār
