Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
toga	tōga	se-infl-noun-even-ng	NOUN	Case=Nom;Number=Sing				tōga
toga	tōgat	se-infl-noun-even-ng	NOUN	Case=Nom;Number=Plur		t		tōga
toga	tōgas	se-infl-noun-even-ng	NOUN	Number=Sing		s		tōga
toga	tōgan	se-infl-noun-even-ng	NOUN	Case=Ess;Number=Sing		n		tōga
toga	toga	se-infl-noun-even-ng	NOUN	Case=Nom;Number=Sing				toga
toga	togat	se-infl-noun-even-ng	NOUN	Case=Nom;Number=Plur		t		toga
toga	togaid	se-infl-noun-even-ng	NOUN	Case=Gen;Number=Plur		id		toga
toga	togai	se-infl-noun-even-ng	NOUN	Case=Ill;Number=Sing		i		toga
toga	togaide	se-infl-noun-even-ng	NOUN	Case=Ill;Number=Plur		ide		toga
toga	togas	se-infl-noun-even-ng	NOUN	Case=Cau;Number=Sing		s		toga
toga	togain	se-infl-noun-even-ng	NOUN	Case=Com;Number=Sing		in		toga
toga	togaiguin	se-infl-noun-even-ng	NOUN	Case=Com;Number=Plur		iguin		toga
toga	togan	se-infl-noun-even-ng	NOUN	Case=Ess;Number=Sing		n		toga
burke	burke	se-infl-noun-even	NOUN	Case=Nom;Number=Sing				burke
burke	burken	se-infl-noun-even	NOUN	Case=Ess;Number=Sing		n		burke
-u	u	se-infl-noun-even-ng	NOUN	Case=Nom;Number=Sing				u
-u	ut	se-infl-noun-even-ng	NOUN	Case=Nom;Number=Plur		t		u
-u	us	se-infl-noun-even-ng	NOUN	Number=Sing		s		u
-u	un	se-infl-noun-even-ng	NOUN	Case=Ess;Number=Sing		n		u
-u	uid	se-infl-noun-even-ng	NOUN	Case=Gen;Number=Plur		id		u
-u	ui	se-infl-noun-even-ng	NOUN	Case=Ill;Number=Sing		i		u
-u	uide	se-infl-noun-even-ng	NOUN	Case=Ill;Number=Plur		ide		u
-u	us	se-infl-noun-even-ng	NOUN	Case=Cau;Number=Sing		s		u
-u	uin	se-infl-noun-even-ng	NOUN	Case=Com;Number=Sing		in		u
-u	uiguin	se-infl-noun-even-ng	NOUN	Case=Com;Number=Plur		iguin		u
gullet	gūlˈlet	se-infl-verb-contr	VERB	Tense=Pres;Mood=Ind;Person=2;Number=Sing		t		gūlˈle
gullet	gūlˈlen	se-infl-verb-contr	VERB	Tense=Pres;Mood=Ind;Person=1;Number=Sing		n		gūlˈle
gullet	gūlˈlejin	se-infl-verb-contr	VERB	Tense=Past;Mood=Ind;Person=1;Number=Sing		jin		gūlˈle
gullet	gūlˈlejit	se-infl-verb-contr	VERB	Tense=Past;Mood=Ind;Person=2;Number=Sing		jit		gūlˈle
gullet	gūlˈle	se-infl-verb-contr	VERB	Tense=Pres;Mood=Ind;Person=3;Number=Sing				gūlˈle
gullet	gūlˈlei	se-infl-verb-contr	VERB	Tense=Past;Mood=Ind;Person=3;Number=Sing		i		gūlˈle
gullet	gūlˈlejetne	se-infl-verb-contr	VERB	Tense=Pres;Mood=Ind;Person=1;Number=Dual		jetne		gūlˈle
gullet	gūlˈleime	se-infl-verb-contr	VERB	Tense=Past;Mood=Ind;Person=1;Number=Dual		ime		gūlˈle
gullet	gūlˈlejeadnu	se-infl-verb-contr	VERB	Mood=Jus;Person=1;Number=Dual		jeadnu		gūlˈle
gullet	gūlˈlebeahtti	se-infl-verb-contr	VERB	Tense=Pres;Mood=Ind;Person=2;Number=Dual		beahtti		gūlˈle
gullet	gūlˈleide	se-infl-verb-contr	VERB	Tense=Past;Mood=Ind;Person=2;Number=Dual		ide		gūlˈle
gullet	gūlˈlejeahkki	se-infl-verb-contr	VERB	Mood=Jus;Person=2;Number=Dual		jeahkki		gūlˈle
gullet	gūlˈleba	se-infl-verb-contr	VERB	Tense=Pres;Mood=Ind;Person=3;Number=Dual		ba		gūlˈle
gullet	gūlˈleiga	se-infl-verb-contr	VERB	Tense=Past;Mood=Ind;Person=3;Number=Dual		iga		gūlˈle
