Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
گائیدن	گائیدن	fa-conj	VERB	VerbForm=Inf		ن		گائید
گائیدن	گائید	fa-conj	VERB	Person=3;Number=Sing;Tense=Past				گائید
گائیدن	گائیده	fa-conj	VERB	AUX;Tense=Past	 	ه		ائید
گائیدن	گائنده	fa-conj	VERB	AUX;Tense=Pres	 	نده		ائ
گائیدن	گائیدیم	fa-conj	VERB	Person=1;Number=Plur;Tense=Past		یم 		گائی
گائیدن	گائیدم	fa-conj	VERB	Person=1;Number=Sing;Tense=Past		م 		گائی
گائیدن	گائیم	fa-conj	VERB	Person=1;Number=Plur;Aspect=Perf		یم 		گا
گائیدن	گائم	fa-conj	VERB	Person=1;Number=Sing;Aspect=Perf		م 		گا
گائیدن	گائیدید	fa-conj	VERB	Person=2;Number=Plur;Tense=Past		ید 		گائی
گائیدن	گائیدی	fa-conj	VERB	Person=2;Number=Sing;Tense=Past		ی 		گائی
گائیدن	گائید	fa-conj	VERB	Person=2;Number=Plur;Aspect=Perf		ید 		گا
گائیدن	گائی	fa-conj	VERB	Person=2;Number=Sing;Aspect=Perf		ی 		گا
گائیدن	گائیدند	fa-conj	VERB	Person=3;Number=Plur;Tense=Past		ند 		گائی
گائیدن	گائید	fa-conj	VERB	Person=3;Number=Sing;Tense=Past				گائید
گائیدن	گائند	fa-conj	VERB	Person=3;Number=Plur;Aspect=Perf		ند 		گا
گائیدن	گائد	fa-conj	VERB	Person=3;Number=Sing;Aspect=Perf		د 		گا
گائیدن	میگائیدیم	fa-conj	VERB	Person=1;Number=Plur;Tense=Past;Aspect=Imp		یم 		میگائی
گائیدن	میگائیدم	fa-conj	VERB	Person=1;Number=Sing;Tense=Past;Aspect=Imp		م 		میگائی
گائیدن	میگائیم	fa-conj	VERB	Person=1;Number=Plur;Tense=Pres;Aspect=Imp		یم 		میگا
گائیدن	میگائم	fa-conj	VERB	Person=1;Number=Sing;Tense=Pres;Aspect=Imp		م 		میگا
گائیدن	میگائیدید	fa-conj	VERB	Person=2;Number=Plur;Tense=Past;Aspect=Imp		ید 		میگائی
گائیدن	میگائیدی	fa-conj	VERB	Person=2;Number=Sing;Tense=Past;Aspect=Imp		ی 		میگائی
گائیدن	میگائید	fa-conj	VERB	Person=2;Number=Plur;Tense=Pres;Aspect=Imp		ید 		میگا
گائیدن	میگائی	fa-conj	VERB	Person=2;Number=Sing;Tense=Pres;Aspect=Imp		ی 		میگا
گائیدن	میگائیدند	fa-conj	VERB	Person=3;Number=Plur;Tense=Past;Aspect=Imp		ند 		میگائی
گائیدن	میگائید	fa-conj	VERB	Person=3;Number=Sing;Tense=Past;Aspect=Imp				میگائید
گائیدن	میگائند	fa-conj	VERB	Person=3;Number=Plur;Tense=Pres;Aspect=Imp		ند 		میگا
گائیدن	میگائد	fa-conj	VERB	Person=3;Number=Sing;Tense=Pres;Aspect=Imp		د 		میگا
گائیدن	گائیدهایم	fa-conj	VERB	Person=1;Number=Plur;Tense=Pres		ه		گائیدهای
گائیدن	گائیدهام	fa-conj	VERB	Person=1;Number=Sing;Tense=Pres		ه		گائیدها
گائیدن	گائیده بودیم	fa-conj	VERB	Person=1;Number=Plur;Tense=Past		ه بودیم 		گائی
گائیدن	گائیده بودم	fa-conj	VERB	Person=1;Number=Sing;Tense=Past		ه بودم 		گائی
گائیدن	گائیدهاید	fa-conj	VERB	Person=2;Number=Plur;Tense=Pres		ه		گائیدهای
گائیدن	گائیدهای	fa-conj	VERB	Person=2;Number=Sing;Tense=Pres		ه		گائیدها
گائیدن	گائیده بودید	fa-conj	VERB	Person=2;Number=Plur;Tense=Past		ه بودید 		گائی
گائیدن	گائیده بودی	fa-conj	VERB	Person=2;Number=Sing;Tense=Past		ه بودی 		گائی
گائیدن	گائیدهاند	fa-conj	VERB	Person=3;Number=Plur;Tense=Pres		ه		گائیدهان
گائیدن	گائیده است	fa-conj	VERB	Person=3;Number=Sing;Tense=Pres		ه است 		گائی
گائیدن	گائیده بودند	fa-conj	VERB	Person=3;Number=Plur;Tense=Past		ه بودند 		گائی
گائیدن	گائیده بود	fa-conj	VERB	Person=3;Number=Sing;Tense=Past		ه بود 		گائی
گائیدن	خواهیم گائید	fa-conj	VERB	Person=1;Number=Plur;Tense=Fut	خواهیم 			
گائیدن	خواهم گائید	fa-conj	VERB	Person=1;Number=Sing;Tense=Fut	خواهم 			
گائیدن	خواهید گائید	fa-conj	VERB	Person=2;Number=Plur;Tense=Fut	خواهید 			
گائیدن	خواهی گائید	fa-conj	VERB	Person=2;Number=Sing;Tense=Fut	خواهی 			
