Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
قاموس	قاموس	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Sing				قاموس
قاموس	قاموسونه	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Plur		ونه		قاموس
قاموس	قاموسونو	ps-noun-m-inanimate	NOUN	Number=Plur		ونو		قاموس
قاموس	قاموسه	ps-noun-m-inanimate	NOUN	Case=Voc;Number=Sing		ه		قاموس
يوم	يوم	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Sing				يوم
يوم	يومونه	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Plur		ونه		يوم
يوم	يومونو	ps-noun-m-inanimate	NOUN	Number=Plur		ونو		يوم
يوم	يومه	ps-noun-m-inanimate	NOUN	Case=Voc;Number=Sing		ه		يوم
کتاب	کتاب	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Sing				کتاب
کتاب	کتابونه	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Plur		ونه		کتاب
کتاب	کتابونو	ps-noun-m-inanimate	NOUN	Number=Plur		ونو		کتاب
کتاب	کتابه	ps-noun-m-inanimate	NOUN	Case=Voc;Number=Sing		ه		کتاب
طالب	طالب	ps-noun-m-animate	NOUN	Case=Nom;Number=Sing				طالب
طالب	طالبان	ps-noun-m-animate	NOUN	Case=Nom;Number=Plur		ان		طالب
طالب	طالبانو	ps-noun-m-animate	NOUN	Number=Plur		انو		طالب
طالب	طالبه	ps-noun-m-animate	NOUN	Case=Voc;Number=Sing		ه		طالب
انار	انار	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Sing				انار
انار	انارونه	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Plur		ونه		انار
انار	انارونو	ps-noun-m-inanimate	NOUN	Number=Plur		ونو		انار
انار	اناره	ps-noun-m-inanimate	NOUN	Case=Voc;Number=Sing		ه		انار
تنور	تنور	ps-noun-m-ablaut-second	NOUN	Number=Sing				تنور
تنور	تنرۀ	ps-noun-m-ablaut-second	NOUN	Case=Nom;Number=Plur		ۀ		تنر
تنور	تنرو	ps-noun-m-ablaut-second	NOUN	Number=Plur		و		تنر
تنور	تنوره	ps-noun-m-ablaut-second	NOUN	Case=Voc;Number=Sing		ه		تنور
آره	آر	ps-decl-adj-m-consonant	ADJ	Case=Nom;Gender=Masc;Number=Plur				آر
آره	آره	ps-decl-adj-m-consonant	ADJ	Case=Nom;Gender=Fem;Number=Sing		ه		آر
آره	آرې	ps-decl-adj-m-consonant	ADJ	Case=Nom;Gender=Fem;Number=Plur		ې		آر
آره	آرو	ps-decl-adj-m-consonant	ADJ	Gender=Fem;Number=Plur		و		آر
برج	برج	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Sing				برج
برج	برجونه	ps-noun-m-inanimate	NOUN	Case=Nom;Number=Plur		ونه		برج
برج	برجونو	ps-noun-m-inanimate	NOUN	Number=Plur		ونو		برج
برج	برجه	ps-noun-m-inanimate	NOUN	Case=Voc;Number=Sing		ه		برج
پروت	پروت	ps-decl-adj-ablaut-addition	ADJ	Case=Nom;Gender=Masc;Number=Sing				پروت
پروت	پراتۀ	ps-decl-adj-ablaut-addition	ADJ	Case=Nom;Gender=Masc;Number=Plur	ا	ا	ا	رات
پروت	پرته	ps-decl-adj-ablaut-addition	ADJ	Case=Nom;Gender=Fem;Number=Sing		ه		پرت
پروت	پرتې	ps-decl-adj-ablaut-addition	ADJ	Case=Nom;Gender=Fem;Number=Plur		ې		پرت
پروت	پرتو	ps-decl-adj-ablaut-addition	ADJ	Gender=Fem;Number=Plur		و		پرت
پروت	پروته	ps-decl-adj-ablaut-addition	ADJ	Case=Voc;Gender=Masc;Number=Sing		ه		پروت
لرغونپوهنه	لرغونپوهنه	ps-noun-f-a	NOUN	Case=Nom;Number=Sing		ه		لرغونپوهن
لرغونپوهنه	لرغونپوهنې	ps-noun-f-a	NOUN	Number=Sing		ې		لرغونپوهن
لرغونپوهنه	لرغونپوهنو	ps-noun-f-a	NOUN	Number=Plur		و		لرغونپوهن
بوټپوهنه	بوټپوهنه	ps-noun-f-a	NOUN	Case=Nom;Number=Sing		ه		بوټپوهن
بوټپوهنه	بوټپوهنې	ps-noun-f-a	NOUN	Number=Sing		ې		بوټپوهن
بوټپوهنه	بوټپوهنو	ps-noun-f-a	NOUN	Number=Plur		و		بوټپوهن
پنځپوهنه	پنځپوهنه	ps-noun-f-a	NOUN	Case=Nom;Number=Sing		ه		پنځپوهن
پنځپوهنه	پنځپوهنې	ps-noun-f-a	NOUN	Number=Sing		ې		پنځپوهن
پنځپوهنه	پنځپوهنو	ps-noun-f-a	NOUN	Number=Plur		و		پنځپوهن
توت	توت	ps-noun-m-animate	NOUN	Case=Nom;Number=Sing				توت
توت	توتان	ps-noun-m-animate	NOUN	Case=Nom;Number=Plur		ان		توت
توت	توتانو	ps-noun-m-animate	NOUN	Number=Plur		انو		توت
توت	توته	ps-noun-m-animate	NOUN	Case=Voc;Number=Sing		ه		توت
بابا	بابا	ps-noun-m-gân	NOUN	Case=Nom;Number=Sing				بابا
بابا	باباګان	ps-noun-m-gân	NOUN	Case=Nom;Number=Plur		ګان		بابا
بابا	باباګانو	ps-noun-m-gân	NOUN	Number=Plur		ګانو		بابا
