Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
raven	ravede	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Sing		de		rave
raven	rave	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				rave
raven	ravet	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t		rave
raven	raveden	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Plur		den		rave
aanbidden	bad	nl-conj-st	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing				bad
aanbidden	gebeden	nl-conj-st	VERB	Tense=Past	ge			
aanbidden	bid	nl-conj-st	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				bid
aanbidden	bidt	nl-conj-st	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t		bid
wassen	wasde	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Sing		de		was
wassen	was	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				was
wassen	wast	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t		was
wassen	wasden	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Plur		den		was
benen	beende	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Sing		de		been
benen	been	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				been
benen	beent	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t		been
benen	beenden	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Plur		den		been
spoken	spookde	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Sing		de		spook
spoken	spook	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				spook
spoken	spookt	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t		spook
spoken	spookden	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Plur		den		spook
taken	taakde	nl-conj-wk	VERB	Mood=Sub;Tense=Past;Number=Sing		de		taak
taken	taak	nl-conj-wk	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				taak
